,name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
17,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.349882500000213,140.9423941250011,205.14702062500163,249.001546225002,247.639885850002,237.80336722500192,234.35477710000188,257.6787553750021,259.8926159500021,258.94030227500207,279.3975435500023,281.1709822500022,285.2219801750023,252.88355117500203,248.393094100002,256.39906557500206,246.178191400002,266.4029594000022,276.0499800000022,371.17458427500304,426.2263757750035,438.6310477000035,481.072610600004,494.2247739750039,536.3121533250044,651.0193979500052,724.1274045000059,785.8502946750064,851.9877851500069,880.0328378000071,896.3240206250073,993.288193875008,1034.6422546750082,1061.9538399000085,1005.0689009000082,1138.6252390500092,1079.3039904500088,1074.9113938750088,1161.3087769250094,1158.9093089250098,1237.29222470001,1212.8686656000098,1142.5978691750092,1114.542583850009
18,Poland,51.19325000000041,52.79025000000043,55.84075000000045,56.64775000000045,54.83525000000044,56.437750000000456,61.4325000000005,64.66100000000051,69.33525000000056,62.20800000000049,52.83525000000042,46.95900000000038,43.27800000000035,42.311250000000335,46.47450000000037,48.06200000000039,43.63425000000035,43.83700000000035,43.50500000000036,40.28375000000032,27.655250000000223,30.91500000000025,29.770500000000244,38.04100000000031,36.04525000000029,36.8580000000003,36.52025000000028,37.26400000000031,37.78125000000031,36.07850000000028,38.53450000000031,40.61225000000032,41.50925000000033,41.99925000000034,45.65450000000037,45.17500000000037,45.128500000000365,45.31861110000036,42.9130555555559,42.797222222222565,42.94916666666701,44.77361111111147,45.43583333333371,44.46305555555592,43.33722222222257,42.83250000000034,41.31805555555589,40.40000000000032,39.81305555555588,39.85194444444476,39.2771075193181
19,Romania,217.42856050000177,232.36145675000188,237.6869795000019,251.636774000002,259.7159135000021,282.12224675000226,307.73414400000246,325.8959005000026,328.12302200000266,313.5255917500025,323.73400850000263,340.7495895000027,344.5235820000028,341.8864465000027,339.4449995000027,324.45153300000254,328.3420067500027,312.0579280000025,305.5908890000025,273.9452630000022,266.4527500000021,233.26850000000184,204.8232500000016,194.9202500000016,172.39850000000138,168.00300000000135,160.0755000000013,138.4895000000011,129.66900000000106,130.16700000000102,127.559250000001,125.374000000001,123.266000000001,121.28375000000096,120.68975000000096,112.82625000000093,111.1640000000009,107.37675000000088,104.58350000000084,103.95400000000085,100.2345000000008,100.7950000000008,100.9797500000008,100.0190000000008,101.9430000000008,102.17225000000082,90.52775000000074,100.1140102777786,99.57649555555636,96.22586638888964,87.05940920006461
20,Ukraine,,,,,,,,,,,,,,,,405.8210422812224,375.7251720747325,336.92232055064176,306.63716814159534,291.4945919370721,265.9414945919392,230.9242871189792,198.74631268436735,181.7109144542787,172.24680432645172,160.6816617502471,162.44198623402292,164.8553343166188,158.63741396263643,159.90087266470135,157.8802851524103,161.56182399213498,176.78957718780867,182.96964110127968,193.66408554572425,196.739921337268,199.6359390363831,199.73058013766132,202.9483775811225,203.37426253687477,194.27925270403296,195.44333824975573,193.92908062930337,201.58554572271544,202.19124877089635,188.3357915437577,190.2286135693231,194.01425762045383,196.85349065880197,194.01425762045383,189.74594395280383
21,United Kingdom,109.49645000000088,181.9629800000015,262.55888000000215,285.0745600000023,343.8060600000028,358.0062900000029,379.12637000000313,396.12943000000325,379.33571000000313,383.0456800000031,364.14693000000295,363.33283000000296,369.287390000003,380.7778300000031,372.24141000000304,415.3189300000034,436.6483500000036,457.14041000000367,440.2303900000037,431.1124700000036,476.0391600000039,530.0256200000043,538.9923500000043,633.6954400000052,676.5403600000056,740.4534000000059,880.6077000000071,898.5087000000071,943.9731000000074,1037.3670000000084,1134.5904000000091,1108.136700000009,1084.8645000000083,1078.0610665456452,1009.1314107463652,923.3902397938208,837.4842000000067,754.9283638927787,727.705649598941,612.0574811810046,579.0093260694771,460.8252839277138,391.923849710133,369.8037975187418,374.31513475535206,406.61183115108577,417.3818909244966,418.8464820843784,407.15365102172206,395.35227651846407,394.7504015184642
24,Azerbaijan,,,,,,,,,,,,,,,,137.1721238938064,132.58997050147593,121.8657817109154,116.01622418879148,108.21681415929288,96.517699115045,83.84365781710979,77.01917404129854,66.29498525073797,62.395280235988686,64.34513274336332,57.29641592920399,54.56662241887948,50.92039823008889,54.56662241887948,51.44685840708004,50.43293510324522,46.77696165191776,46.63072271386467,45.43156342182926,55.88374778761105,65.9381622418884,105.60498672566456,159.26882743362955,159.13428761062073,162.54652949852633,159.5115840707977,168.09775958702193,174.46402802360015,183.84077500000149,187.8405250000015,182.77540000000144,177.58627500000142,190.4661585000015,243.18223050000196,258.43546650000206
25,Kazakhstan,,,,,,,,,,,,,,,,38.678775757362736,41.287608139824144,44.74005751552716,50.57448428391236,47.56865566933725,50.429155306085015,55.89919624713728,57.51199344009915,47.394260895944434,31.81570339469725,41.93839839175338,46.25006104124533,57.52262726774504,56.34369024273598,70.50865758892118,81.82305020416143,82.30440813559933,100.02249175920208,117.6590493708529,156.68661467500124,192.26267976570787,201.198942999767,229.1533956445037,255.09775367034243,264.856103423046,277.6878431979813,293.25935996004006,296.7829119980211,311.2771286619217,317.1075437368796,318.93013745135863,320.95624801742275,344.5765208055829,341.2864669438632,340.4199665834601,316.9185107371808
26,Russian Federation,,,,,,,,,,,,,,,,4248.812241887938,4625.671091445463,5005.472713864347,5423.898230088538,5662.998525073789,5995.899705014797,5913.134218289131,5922.330383480874,5685.988938053142,5584.831120943997,5411.943215339276,5523.2168141593365,5235.376843657858,5412.862831858451,5444.129793510368,5370.560471976445,5347.570058997092,5475.396755162286,5706.220501474971,5825.770648967598,5894.741887905652,6047.812057522172,6016.131268436627,6114.53023598825,5361.897684365824,5983.867442477924,6168.277223451378,6018.549859882053,6144.962185840757,5911.5515582596345,5844.395642330429,5892.753676991196,6355.608626106244,6691.129793510377,6790.448377581175,6384.897492625418
27,Turkmenistan,,,,,,,,,,,,,,,,787.3193215339295,801.6101278269483,833.7881022615602,835.6809242871254,850.8235004916488,792.4262500000063,761.4337500000061,503.002500000004,588.8575000000046,323.3037500000026,291.6375000000023,317.62500000000256,156.21375000000123,120.12000000000096,205.87875000000165,424.36625000000345,463.2512500000037,483.0787500000038,534.1875000000043,526.4875000000043,568.8375000000045,565.9500000000046,616.0000000000049,616.0000000000049,333.2175000000026,401.2782694198655,563.1145526057076,589.6140609636232,589.6140609636232,635.0417895771927,658.7020648967604,632.2025565388448,586.774827925275,615.1671583087561,631.6318406604593,589.6140609636232
28,USSR,1875.013864311889,2011.937380483696,2097.188964402497,2238.327697779178,2468.50697435994,2740.06168633596,3040.194624668444,3277.478199909106,3525.569780563789,3851.448695345272,4122.387702384673,4407.506888601994,4742.829785349277,5074.36372281128,5564.086710433724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
